Date,Hs,P,W
"2012-6-8-12",1.2645,101770.0000,7.1000
"2012-6-8-13",1.2133,101790.0000,7.2000
"2012-6-8-14",1.2058,101800.0000,7.0000
"2012-6-8-15",1.2183,101780.0000,6.9000
"2012-6-8-16",1.1537,101720.0000,6.2000
"2012-6-8-17",1.2053,101640.0000,7.0000
"2012-6-8-18",1.2114,101570.0000,6.5000
"2012-6-8-19",1.1323,101510.0000,6.2000
"2012-6-8-20",1.1983,101530.0000,5.3000
"2012-6-8-21",1.2197,101540.0000,4.5000
"2012-6-8-22",1.1404,101560.0000,5.2000
"2012-6-8-23",1.1095,101590.0000,4.6000
"2012-6-9-0",1.0667,101620.0000,3.8000
"2012-6-9-1",1.0714,101650.0000,2.6000
"2012-6-9-2",1.0622,101700.0000,2.8000
"2012-6-9-3",1.0263,101710.0000,3.2000
"2012-6-9-4",1.0179,101670.0000,4.5000
"2012-6-9-5",1.0293,101630.0000,5.0000
"2012-6-9-6",0.9809,101560.0000,6.1000
"2012-6-9-7",0.9304,101580.0000,5.8000
"2012-6-9-8",0.9843,101580.0000,6.1000
"2012-6-9-9",0.9994,101590.0000,6.9000
"2012-6-9-10",1.0048,101660.0000,4.9000
"2012-6-9-11",0.9867,101680.0000,5.8000
"2012-6-9-12",1.0100,101740.0000,5.2000
"2012-6-9-13",1.0827,101750.0000,4.6000
"2012-6-9-14",0.9708,101760.0000,5.3000
"2012-6-9-15",0.9881,101810.0000,4.8000
"2012-6-9-16",0.9845,101790.0000,3.5000
"2012-6-9-17",1.0284,101760.0000,2.6000
"2012-6-9-18",1.0231,101710.0000,0.7000
"2012-6-9-19",0.9797,101690.0000,0.4000
"2012-6-9-20",1.0040,101670.0000,6.0000
"2012-6-9-21",0.9370,101610.0000,3.2000
"2012-6-9-22",0.9133,101590.0000,3.6000
"2012-6-9-23",0.9666,101610.0000,1.9000
"2012-6-10-0",0.9974,101600.0000,1.3000
"2012-6-10-1",0.9967,101640.0000,1.4000
"2012-6-10-2",0.9848,101660.0000,1.5000
"2012-6-10-3",0.9534,101650.0000,1.9000
"2012-6-10-4",0.9331,101640.0000,1.7000
"2012-6-10-5",0.9402,101630.0000,1.4000
"2012-6-10-6",0.9429,101610.0000,1.3000
"2012-6-10-7",0.8996,101620.0000,3.1000
"2012-6-10-8",0.8846,101630.0000,1.8000
"2012-6-10-9",0.9250,101690.0000,1.8000
"2012-6-10-10",0.9121,101700.0000,2.2000
"2012-6-10-11",0.8811,101780.0000,1.6000
"2012-6-10-12",0.8903,101790.0000,4.9000
"2012-6-10-13",0.8265,101820.0000,5.7000
"2012-6-10-14",0.8407,101850.0000,6.3000
"2012-6-10-15",1.0701,101860.0000,7.9000
"2012-6-10-16",1.2643,101850.0000,6.1000
"2012-6-10-17",1.2691,101850.0000,4.5000
"2012-6-10-18",1.2920,101790.0000,5.9000
"2012-6-10-19",1.2622,101770.0000,3.3000
"2012-6-10-20",1.1533,101750.0000,1.6000
"2012-6-10-21",1.1400,101710.0000,3.7000
"2012-6-10-22",1.2063,101760.0000,3.2000
"2012-6-10-23",1.2021,101780.0000,4.5000
"2012-6-11-0",1.1080,101830.0000,4.2000
"2012-6-11-1",1.0417,101850.0000,4.6000
"2012-6-11-2",1.0606,101850.0000,5.0000
"2012-6-11-3",1.0972,101800.0000,5.3000
"2012-6-11-4",1.1403,101750.0000,6.1000
"2012-6-11-5",1.1337,101710.0000,6.5000
"2012-6-11-6",1.2045,101670.0000,7.7000
"2012-6-11-7",1.2334,101670.0000,6.9000
"2012-6-11-8",1.3370,101680.0000,7.6000
"2012-6-11-9",1.2684,101710.0000,6.7000
"2012-6-11-10",1.3716,101760.0000,6.8000
"2012-6-11-11",1.2490,101800.0000,5.8000
"2012-6-11-12",1.3172,101820.0000,6.1000
"2012-6-11-13",1.2223,101830.0000,5.8000
"2012-6-11-14",1.2105,101820.0000,5.4000
"2012-6-11-15",1.2348,101820.0000,6.2000
"2012-6-11-16",1.3286,101770.0000,5.9000
"2012-6-11-17",1.2500,101750.0000,9.1000
"2012-6-11-18",1.2270,101740.0000,4.3000
"2012-6-11-19",1.1993,101690.0000,2.2000
"2012-6-11-20",1.2596,101680.0000,4.3000
"2012-6-11-21",1.1481,101690.0000,6.4000
"2012-6-11-22",1.1900,101690.0000,6.6000
"2012-6-11-23",1.2353,101710.0000,7.3000
"2012-6-12-0",1.2956,101740.0000,6.4000
"2012-6-12-1",1.1798,101740.0000,5.2000
"2012-6-12-2",1.1431,101720.0000,5.3000
"2012-6-12-3",1.2171,101700.0000,4.9000
"2012-6-12-4",1.1336,101660.0000,4.7000
"2012-6-12-5",1.1354,101620.0000,4.6000
"2012-6-12-6",1.1027,101600.0000,4.0000
"2012-6-12-7",1.1807,101580.0000,4.5000
"2012-6-12-8",0.9987,101590.0000,6.1000
"2012-6-12-9",1.0463,101650.0000,5.6000
"2012-6-12-10",1.1357,101670.0000,7.5000
"2012-6-12-11",1.1795,101770.0000,4.2000
"2012-6-12-12",1.1481,101770.0000,2.5000
"2012-6-12-13",1.0855,101810.0000,4.1000
"2012-6-12-14",1.1177,101790.0000,4.3000
"2012-6-12-15",1.0194,101760.0000,4.8000
"2012-6-12-16",1.0307,101760.0000,5.5000
"2012-6-12-17",1.0365,101740.0000,3.1000
"2012-6-12-18",1.0070,101660.0000,2.8000
"2012-6-12-19",1.0221,101620.0000,3.4000
"2012-6-12-20",0.9656,101550.0000,4.0000
"2012-6-12-21",0.9363,101550.0000,5.8000
"2012-6-12-22",0.9264,101550.0000,4.5000
"2012-6-12-23",0.8929,101580.0000,3.8000
"2012-6-13-0",0.8585,101640.0000,3.5000
"2012-6-13-1",0.7997,101660.0000,3.2000
"2012-6-13-2",0.8412,101700.0000,3.5000
"2012-6-13-3",0.7846,101690.0000,4.3000
"2012-6-13-4",0.7645,101660.0000,4.0000
"2012-6-13-5",0.7605,101620.0000,4.3000
"2012-6-13-6",0.7906,101570.0000,3.4000
"2012-6-13-7",0.7852,101570.0000,3.9000
"2012-6-13-8",0.7766,101570.0000,4.4000
"2012-6-13-9",0.8213,101610.0000,4.1000
"2012-6-13-10",0.7986,101680.0000,4.4000
"2012-6-13-11",0.7860,101700.0000,4.5000
"2012-6-13-12",0.7624,101730.0000,4.4000
"2012-6-13-13",0.8018,101750.0000,4.6000
"2012-6-13-14",0.7840,101730.0000,5.3000
"2012-6-13-15",0.7795,101730.0000,4.8000
"2012-6-13-16",0.7250,101710.0000,4.5000
"2012-6-13-17",0.7565,101670.0000,4.4000
"2012-6-13-18",0.7143,101640.0000,4.3000
"2012-6-13-19",0.7283,101620.0000,4.2000
"2012-6-13-20",0.7227,101600.0000,3.7000
"2012-6-13-21",0.7159,101610.0000,3.9000
"2012-6-13-22",0.6700,101680.0000,2.8000
"2012-6-13-23",0.7358,101720.0000,2.2000
"2012-6-14-0",0.7654,101730.0000,3.7000
"2012-6-14-1",0.7714,101720.0000,4.4000
"2012-6-14-2",0.7344,101700.0000,6.1000
"2012-6-14-3",0.7418,101700.0000,6.3000
"2012-6-14-4",0.7843,101660.0000,6.6000
"2012-6-14-5",0.8837,101630.0000,7.3000
"2012-6-14-6",0.9326,101610.0000,7.2000
"2012-6-14-7",0.8791,101600.0000,6.0000
"2012-6-14-8",0.9288,101590.0000,5.9000
"2012-6-14-9",1.0779,101600.0000,6.0000
"2012-6-14-10",1.0063,101670.0000,5.5000
"2012-6-14-11",1.0725,101740.0000,5.8000
"2012-6-14-12",1.0741,101770.0000,6.0000
"2012-6-14-13",1.1056,101820.0000,6.8000
"2012-6-14-14",1.0414,101850.0000,13.2000
