Date,Hs,P,W
"2012-7-15-17",1.7016,102160.0000,6.4000
"2012-7-15-18",1.7890,102120.0000,6.0000
"2012-7-15-19",1.8000,102060.0000,5.4000
"2012-7-15-20",1.6646,102010.0000,6.1000
"2012-7-15-21",1.6790,102010.0000,5.9000
"2012-7-15-22",1.6570,102000.0000,6.6000
"2012-7-15-23",1.5907,102030.0000,7.1000
"2012-7-16-0",1.7392,102070.0000,6.9000
"2012-7-16-1",1.6868,102080.0000,6.9000
"2012-7-16-2",1.7919,102100.0000,7.1000
"2012-7-16-3",1.7152,102090.0000,6.7000
"2012-7-16-4",1.6811,102030.0000,7.0000
"2012-7-16-5",1.6015,101930.0000,6.8000
"2012-7-16-6",1.6296,101920.0000,6.0000
"2012-7-16-7",1.5158,101900.0000,5.5000
"2012-7-16-8",1.4798,101920.0000,5.1000
"2012-7-16-9",1.5765,101940.0000,5.8000
"2012-7-16-10",1.5147,101980.0000,5.3000
"2012-7-16-11",1.6111,102070.0000,4.6000
"2012-7-16-12",1.5301,102080.0000,4.6000
"2012-7-16-13",1.6942,102080.0000,5.3000
"2012-7-16-14",1.6058,102080.0000,6.0000
"2012-7-16-15",1.5581,102040.0000,5.8000
"2012-7-16-16",1.7086,101990.0000,6.1000
"2012-7-16-17",1.6303,101950.0000,6.3000
"2012-7-16-18",1.6210,101910.0000,5.9000
"2012-7-16-19",1.5508,101840.0000,5.9000
"2012-7-16-20",1.5600,101800.0000,5.5000
"2012-7-16-21",1.5786,101790.0000,5.3000
"2012-7-16-22",1.7220,101780.0000,5.3000
"2012-7-16-23",1.6906,101830.0000,4.4000
"2012-7-17-0",1.7443,101880.0000,4.2000
"2012-7-17-1",1.7832,101950.0000,3.5000
"2012-7-17-2",1.7143,101950.0000,2.7000
"2012-7-17-3",1.6166,101920.0000,2.8000
"2012-7-17-4",1.7727,101850.0000,3.7000
"2012-7-17-5",1.5409,101790.0000,3.3000
"2012-7-17-6",1.7114,101800.0000,2.6000
"2012-7-17-7",1.5056,101800.0000,2.7000
"2012-7-17-8",1.5557,101850.0000,2.9000
"2012-7-17-9",1.5490,101900.0000,3.5000
"2012-7-17-10",1.6623,101970.0000,2.4000
"2012-7-17-11",1.6588,102010.0000,3.6000
"2012-7-17-12",1.5210,102030.0000,3.3000
"2012-7-17-13",1.6048,102050.0000,5.1000
"2012-7-17-14",1.4517,102080.0000,3.9000
"2012-7-17-15",1.5849,102070.0000,5.0000
"2012-7-17-16",1.4824,102060.0000,5.1000
"2012-7-17-17",1.4684,102040.0000,4.8000
"2012-7-17-18",1.6911,101990.0000,4.2000
"2012-7-17-19",1.5663,101960.0000,3.9000
"2012-7-17-20",1.4459,101910.0000,3.9000
"2012-7-17-21",1.4347,101900.0000,3.7000
"2012-7-17-22",1.4263,101930.0000,3.6000
"2012-7-17-23",1.4862,101960.0000,4.3000
"2012-7-18-0",1.4404,102020.0000,4.2000
"2012-7-18-1",1.2599,102050.0000,4.8000
"2012-7-18-2",1.3318,102070.0000,5.7000
"2012-7-18-3",1.3152,102040.0000,6.0000
"2012-7-18-4",1.2971,101990.0000,6.0000
"2012-7-18-5",1.2906,101930.0000,6.4000
"2012-7-18-6",1.2981,101910.0000,6.4000
"2012-7-18-7",1.2501,101920.0000,7.2000
"2012-7-18-8",1.3649,101970.0000,6.8000
"2012-7-18-9",1.2774,102040.0000,6.8000
"2012-7-18-10",1.3150,102090.0000,7.3000
"2012-7-18-11",1.3273,102160.0000,7.1000
"2012-7-18-12",1.3360,102170.0000,7.2000
"2012-7-18-13",1.3332,102180.0000,7.2000
"2012-7-18-14",1.3905,102200.0000,7.1000
"2012-7-18-15",1.3122,102200.0000,7.0000
"2012-7-18-16",1.3701,102190.0000,6.8000
"2012-7-18-17",1.4652,102180.0000,6.5000
"2012-7-18-18",1.4214,102130.0000,6.7000
"2012-7-18-19",1.4156,102110.0000,5.9000
"2012-7-18-20",1.3312,102060.0000,7.7000
"2012-7-18-21",1.3873,102060.0000,6.7000
"2012-7-18-22",1.3452,102080.0000,7.0000
"2012-7-18-23",1.3480,102110.0000,7.0000
"2012-7-19-0",1.3751,102150.0000,7.2000
"2012-7-19-1",1.3388,102170.0000,6.9000
"2012-7-19-2",1.3910,102160.0000,7.5000
"2012-7-19-3",1.3575,102130.0000,7.5000
"2012-7-19-4",1.3597,102100.0000,7.2000
"2012-7-19-5",1.3656,102060.0000,7.4000
"2012-7-19-6",1.4191,102030.0000,6.9000
"2012-7-19-7",1.3384,102050.0000,5.4000
"2012-7-19-8",1.2693,102090.0000,6.7000
"2012-7-19-9",1.3506,102150.0000,8.2000
"2012-7-19-10",1.2900,102190.0000,7.7000
"2012-7-19-11",1.3547,102270.0000,6.8000
"2012-7-19-12",1.3727,102290.0000,7.1000
"2012-7-19-13",1.3135,102310.0000,7.2000
"2012-7-19-14",1.4591,102300.0000,7.6000
"2012-7-19-15",1.4686,102310.0000,7.9000
"2012-7-19-16",1.5480,102280.0000,7.4000
"2012-7-19-17",1.4999,102200.0000,8.2000
"2012-7-19-18",1.5746,102150.0000,7.3000
"2012-7-19-19",1.5479,102090.0000,8.1000
"2012-7-19-20",1.5304,102060.0000,8.0000
"2012-7-19-21",1.6078,102080.0000,8.0000
"2012-7-19-22",1.6106,102090.0000,8.4000
"2012-7-19-23",1.6311,102130.0000,7.9000
"2012-7-20-0",1.7018,102170.0000,8.7000
"2012-7-20-1",1.7743,102180.0000,8.4000
"2012-7-20-2",1.7821,102140.0000,8.7000
"2012-7-20-3",1.8194,102090.0000,9.0000
"2012-7-20-4",1.9149,102070.0000,8.8000
"2012-7-20-5",1.7936,102000.0000,8.6000
"2012-7-20-6",1.8331,101960.0000,9.7000
"2012-7-20-7",1.9703,101950.0000,7.7000
"2012-7-20-8",2.0357,101960.0000,7.9000
"2012-7-20-9",2.0316,101960.0000,9.7000
"2012-7-20-10",2.0854,102020.0000,9.0000
"2012-7-20-11",2.0882,102060.0000,9.2000
"2012-7-20-12",2.1571,102070.0000,8.8000
"2012-7-20-13",2.2071,102080.0000,8.6000
"2012-7-20-14",2.1550,102090.0000,9.0000
"2012-7-20-15",2.1558,102090.0000,8.5000
"2012-7-20-16",2.0561,102050.0000,7.8000
"2012-7-20-17",2.0886,101990.0000,8.2000
"2012-7-20-18",2.2683,101970.0000,8.0000
"2012-7-20-19",2.1122,101940.0000,8.5000
"2012-7-20-20",2.2257,101900.0000,7.8000
"2012-7-20-21",2.0963,101890.0000,8.9000
"2012-7-20-22",2.1671,101910.0000,8.7000
"2012-7-20-23",1.9179,101970.0000,8.8000
"2012-7-21-0",2.1298,101970.0000,8.2000
"2012-7-21-1",2.2236,101980.0000,9.1000
"2012-7-21-2",2.1277,102000.0000,8.8000
"2012-7-21-3",2.1022,101960.0000,9.3000
"2012-7-21-4",2.0466,101920.0000,8.3000
"2012-7-21-5",1.9857,101850.0000,8.3000
"2012-7-21-6",2.0851,101850.0000,9.1000
"2012-7-21-7",2.3027,101840.0000,7.7000
"2012-7-21-8",2.1377,101870.0000,8.0000
"2012-7-21-9",2.1909,101920.0000,8.0000
"2012-7-21-10",2.0461,101970.0000,7.5000
"2012-7-21-11",2.1700,102000.0000,8.1000
"2012-7-21-12",2.0905,102020.0000,8.5000
"2012-7-21-13",2.1542,102030.0000,8.3000
"2012-7-21-14",2.2724,102050.0000,8.1000
"2012-7-21-15",2.1185,102050.0000,8.1000
"2012-7-21-16",2.0915,102050.0000,8.0000
"2012-7-21-17",2.0336,102020.0000,8.1000
"2012-7-21-18",2.0634,102020.0000,7.8000
"2012-7-21-19",2.3171,101990.0000,8.2000
"2012-7-21-20",1.9544,101970.0000,7.6000
"2012-7-21-21",2.2253,101970.0000,8.3000
"2012-7-21-22",2.2551,101970.0000,7.8000
"2012-7-21-23",2.1881,102010.0000,8.6000
"2012-7-22-0",2.3002,102090.0000,8.2000
"2012-7-22-1",2.2209,102100.0000,8.5000
"2012-7-22-2",2.0594,102130.0000,7.4000
"2012-7-22-3",2.1728,102090.0000,7.7000
"2012-7-22-4",2.2044,102050.0000,7.9000
"2012-7-22-5",2.0745,102030.0000,7.6000
"2012-7-22-6",2.0258,102030.0000,7.1000
"2012-7-22-7",1.8392,102010.0000,7.5000
"2012-7-22-8",1.9220,102030.0000,7.5000
"2012-7-22-9",1.9507,102100.0000,6.8000
"2012-7-22-10",1.9549,102190.0000,6.6000
"2012-7-22-11",1.8972,102210.0000,6.9000
"2012-7-22-12",1.9756,102220.0000,6.9000
"2012-7-22-13",1.7971,102230.0000,7.2000
"2012-7-22-14",1.7707,102220.0000,7.7000
"2012-7-22-15",1.6251,102210.0000,8.4000
"2012-7-22-16",1.9017,102200.0000,7.7000
"2012-7-22-17",1.7618,102180.0000,7.2000
"2012-7-22-18",1.7756,102130.0000,7.0000
"2012-7-22-19",1.8070,102130.0000,7.1000
"2012-7-22-20",2.0634,102150.0000,7.1000
"2012-7-22-21",1.8949,102170.0000,7.2000
"2012-7-22-22",1.8944,102180.0000,7.3000
"2012-7-22-23",1.7945,102200.0000,7.8000
"2012-7-23-0",1.8668,102250.0000,7.4000
"2012-7-23-1",1.7525,102290.0000,6.7000
"2012-7-23-2",1.6613,102320.0000,6.9000
"2012-7-23-3",1.6717,102310.0000,6.7000
"2012-7-23-4",1.5374,102300.0000,6.1000
"2012-7-23-5",1.6637,102250.0000,6.3000
"2012-7-23-6",1.5623,102240.0000,6.0000
"2012-7-23-7",1.5156,102220.0000,5.5000
"2012-7-23-8",1.5488,102210.0000,5.7000
"2012-7-23-9",1.4511,102220.0000,5.6000
"2012-7-23-10",1.4853,102260.0000,5.3000
"2012-7-23-11",1.4114,102300.0000,5.9000
"2012-7-23-12",1.3945,102300.0000,4.6000
"2012-7-23-13",1.4724,102320.0000,6.0000
"2012-7-23-14",1.3433,102330.0000,6.0000
"2012-7-23-15",1.4504,102300.0000,5.5000
"2012-7-23-16",1.3826,102250.0000,6.0000
"2012-7-23-17",1.4421,102180.0000,6.8000
"2012-7-23-18",1.5240,102090.0000,6.5000
"2012-7-23-19",1.5712,102090.0000,6.4000
"2012-7-23-20",1.3578,102080.0000,6.3000
"2012-7-23-21",1.4862,102090.0000,6.9000
"2012-7-23-22",1.4595,102140.0000,6.5000
"2012-7-23-23",1.5880,102160.0000,6.1000
"2012-7-24-0",1.4346,102180.0000,6.3000
"2012-7-24-1",1.4037,102190.0000,6.1000
"2012-7-24-2",1.4622,102190.0000,5.9000
"2012-7-24-3",1.4062,102150.0000,5.9000
"2012-7-24-4",1.4231,102120.0000,4.8000
"2012-7-24-5",1.3104,102060.0000,5.4000
"2012-7-24-6",1.2787,101970.0000,6.0000
"2012-7-24-7",1.2998,101970.0000,5.7000
"2012-7-24-8",1.3248,101990.0000,5.8000
"2012-7-24-9",1.2727,102020.0000,5.3000
"2012-7-24-10",1.4402,102060.0000,4.4000
"2012-7-24-11",1.3457,102090.0000,4.5000
"2012-7-24-12",1.3771,102120.0000,4.5000
"2012-7-24-13",1.3681,102120.0000,4.6000
"2012-7-24-14",1.4193,102140.0000,4.5000
"2012-7-24-15",1.3746,102120.0000,4.5000
"2012-7-24-16",1.4316,102030.0000,4.5000
"2012-7-24-17",1.3142,101990.0000,4.4000
"2012-7-24-18",1.3194,101970.0000,3.6000
"2012-7-24-19",1.3496,101920.0000,2.8000
"2012-7-24-20",1.3894,101880.0000,3.1000
"2012-7-24-21",1.5017,101840.0000,2.6000
"2012-7-24-22",1.4337,101880.0000,0.9000
"2012-7-24-23",1.3059,101950.0000,1.6000
"2012-7-25-0",1.3860,102000.0000,1.9000
"2012-7-25-1",1.2838,102010.0000,2.7000
"2012-7-25-2",1.2593,101990.0000,2.6000
"2012-7-25-3",1.3661,101940.0000,3.4000
"2012-7-25-4",1.2204,101900.0000,2.7000
"2012-7-25-5",1.3055,101850.0000,3.1000
"2012-7-25-6",1.3149,101820.0000,3.0000
"2012-7-25-7",1.1901,101780.0000,2.9000
"2012-7-25-8",1.3694,101800.0000,3.0000
"2012-7-25-9",1.3211,101830.0000,2.3000
"2012-7-25-10",1.2597,101870.0000,1.3000
"2012-7-25-11",1.2420,101900.0000,1.4000
"2012-7-25-12",1.1642,101930.0000,2.2000
"2012-7-25-13",1.3001,101930.0000,3.0000
"2012-7-25-14",1.2028,101920.0000,3.4000
"2012-7-25-15",1.3026,101930.0000,2.9000
"2012-7-25-16",1.2289,101940.0000,2.8000
"2012-7-25-17",1.1751,101910.0000,2.6000
"2012-7-25-18",1.1645,101920.0000,1.1000
"2012-7-25-19",1.1454,101870.0000,1.7000
"2012-7-25-20",1.1547,101840.0000,1.3000
"2012-7-25-21",1.0739,101850.0000,1.1000
"2012-7-25-22",1.1375,101860.0000,1.0000
"2012-7-25-23",1.0943,101870.0000,1.6000
"2012-7-26-0",1.1534,101890.0000,1.4000
"2012-7-26-1",1.1298,101930.0000,0.8000
"2012-7-26-2",1.0117,101930.0000,0.4000
"2012-7-26-3",1.1054,101910.0000,0.8000
"2012-7-26-4",1.0198,101860.0000,0.7000
"2012-7-26-5",1.0168,101800.0000,0.3000
"2012-7-26-6",1.0444,101770.0000,1.0000
"2012-7-26-7",1.0458,101770.0000,0.1000
"2012-7-26-8",1.0608,101780.0000,0.5000
"2012-7-26-9",1.0144,101800.0000,0.3000
"2012-7-26-10",1.0574,101860.0000,0.8000
"2012-7-26-11",0.9993,101900.0000,0.0000
"2012-7-26-12",1.0872,101940.0000,1.0000
"2012-7-26-13",0.9815,101990.0000,0.4000
"2012-7-26-14",1.0115,102000.0000,1.9000
"2012-7-26-15",0.9664,102000.0000,2.2000
"2012-7-26-16",1.0046,101980.0000,2.0000
"2012-7-26-17",0.9577,101940.0000,2.6000
"2012-7-26-18",1.0523,101920.0000,1.8000
"2012-7-26-19",0.9936,101920.0000,1.7000
"2012-7-26-20",1.0049,101920.0000,1.6000
"2012-7-26-21",0.9706,101940.0000,0.8000
"2012-7-26-22",1.0662,101940.0000,0.9000
"2012-7-26-23",1.1041,101960.0000,1.6000
"2012-7-27-0",1.0346,101990.0000,1.0000
"2012-7-27-1",1.0331,102040.0000,0.9000
"2012-7-27-2",1.0281,102020.0000,1.3000
"2012-7-27-3",1.0566,101960.0000,2.6000
"2012-7-27-4",0.9580,101900.0000,3.0000
"2012-7-27-5",1.0138,101840.0000,3.3000
"2012-7-27-6",1.0015,101810.0000,3.8000
"2012-7-27-7",1.0091,101830.0000,3.6000
"2012-7-27-8",0.9692,101890.0000,2.9000
"2012-7-27-9",0.9944,101920.0000,2.4000
"2012-7-27-10",0.9925,101980.0000,2.0000
"2012-7-27-11",1.0704,102040.0000,1.0000
"2012-7-27-12",0.9758,102070.0000,1.1000
"2012-7-27-13",0.9528,102090.0000,1.0000
"2012-7-27-14",1.0128,102110.0000,1.3000
"2012-7-27-15",0.9183,102080.0000,1.1000
"2012-7-27-16",0.9165,102070.0000,2.0000
"2012-7-27-17",0.8786,102010.0000,0.7000
"2012-7-27-18",0.9922,102000.0000,1.5000
"2012-7-27-19",0.8925,101970.0000,2.1000
"2012-7-27-20",0.9457,101970.0000,2.2000
"2012-7-27-21",0.9409,101990.0000,2.0000
"2012-7-27-22",0.9038,102010.0000,2.7000
"2012-7-27-23",0.8348,102020.0000,3.0000
"2012-7-28-0",0.8501,102050.0000,2.5000
"2012-7-28-1",0.8881,102050.0000,2.8000
"2012-7-28-2",0.8632,102040.0000,3.0000
"2012-7-28-3",0.8959,102030.0000,3.3000
"2012-7-28-4",0.8894,101960.0000,3.2000
"2012-7-28-5",0.7922,101900.0000,3.5000
"2012-7-28-6",0.9212,101870.0000,4.0000
"2012-7-28-7",0.8566,101870.0000,3.0000
"2012-7-28-8",0.9421,101900.0000,3.7000
"2012-7-28-9",0.9124,101950.0000,3.6000
"2012-7-28-10",0.9926,102030.0000,3.6000
"2012-7-28-11",0.9798,102080.0000,4.0000
"2012-7-28-12",1.0809,102080.0000,4.4000
"2012-7-28-13",1.0443,102110.0000,3.3000
"2012-7-28-14",1.0060,102110.0000,4.6000
"2012-7-28-15",1.0568,102090.0000,4.2000
"2012-7-28-16",1.0053,102070.0000,3.2000
"2012-7-28-17",1.0946,102040.0000,3.1000
"2012-7-28-18",1.0774,102010.0000,3.4000
"2012-7-28-19",1.0187,101970.0000,3.5000
"2012-7-28-20",1.1364,101970.0000,3.6000
"2012-7-28-21",1.0302,101950.0000,3.9000
"2012-7-28-22",1.0511,101970.0000,4.4000
"2012-7-28-23",1.0820,101960.0000,5.0000
"2012-7-29-0",1.0446,101960.0000,4.8000
"2012-7-29-1",1.0814,101960.0000,6.2000
"2012-7-29-2",1.1663,101960.0000,6.0000
"2012-7-29-3",1.1493,101920.0000,6.7000
"2012-7-29-4",1.2497,101840.0000,6.6000
"2012-7-29-5",1.2290,101790.0000,6.5000
"2012-7-29-6",1.2939,101760.0000,6.1000
"2012-7-29-7",1.3326,101740.0000,6.6000
"2012-7-29-8",1.1545,101760.0000,6.6000
"2012-7-29-9",1.2957,101780.0000,6.2000
"2012-7-29-10",1.3267,101850.0000,5.4000
"2012-7-29-11",1.2873,101930.0000,5.5000
"2012-7-29-12",1.3858,101950.0000,5.7000
"2012-7-29-13",1.5448,101970.0000,6.5000
"2012-7-29-14",1.6911,101980.0000,6.6000
"2012-7-29-15",1.5100,101970.0000,4.5000
"2012-7-29-16",1.5424,101990.0000,5.7000
"2012-7-29-17",1.5580,101900.0000,5.1000
"2012-7-29-18",1.4079,101840.0000,3.1000
"2012-7-29-19",1.3447,101810.0000,6.7000
"2012-7-29-20",1.1643,101770.0000,4.9000
"2012-7-29-21",1.1941,101760.0000,6.0000
"2012-7-29-22",1.1332,101760.0000,5.6000
"2012-7-29-23",1.2500,101790.0000,6.0000
"2012-7-30-0",1.1622,101860.0000,6.7000
"2012-7-30-1",1.2092,101900.0000,7.4000
"2012-7-30-2",1.2872,101920.0000,7.6000
"2012-7-30-3",1.3528,101910.0000,7.3000
"2012-7-30-4",1.3879,101860.0000,7.3000
"2012-7-30-5",1.3780,101790.0000,6.7000
"2012-7-30-6",1.4353,101740.0000,6.8000
"2012-7-30-7",1.2756,101750.0000,6.5000
"2012-7-30-8",1.2652,101740.0000,6.0000
"2012-7-30-9",1.2687,101810.0000,5.5000
"2012-7-30-10",1.2533,101850.0000,5.3000
"2012-7-30-11",1.2284,101860.0000,6.9000
"2012-7-30-12",1.3075,101880.0000,6.7000
"2012-7-30-13",1.1725,101900.0000,6.4000
"2012-7-30-14",1.1698,101940.0000,6.2000
"2012-7-30-15",1.1561,101940.0000,6.4000
"2012-7-30-16",1.2727,101880.0000,6.5000
"2012-7-30-17",1.2948,101820.0000,6.5000
"2012-7-30-18",1.2560,101790.0000,5.7000
"2012-7-30-19",1.2187,101770.0000,6.6000
"2012-7-30-20",1.2413,101750.0000,6.6000
"2012-7-30-21",1.3450,101750.0000,8.2000
"2012-7-30-22",1.3302,101820.0000,7.3000
"2012-7-30-23",1.4109,101820.0000,7.7000
"2012-7-31-0",1.4074,101880.0000,6.5000
"2012-7-31-1",1.3658,101940.0000,7.3000
"2012-7-31-2",1.5074,101950.0000,6.8000
"2012-7-31-3",1.4255,101940.0000,7.2000
"2012-7-31-4",1.5333,101910.0000,6.5000
"2012-7-31-5",1.4929,101890.0000,6.7000
"2012-7-31-6",1.4756,101850.0000,6.8000
"2012-7-31-7",1.5660,101820.0000,7.2000
"2012-7-31-8",1.4867,101780.0000,7.1000
"2012-7-31-9",1.5440,101820.0000,8.4000
"2012-7-31-10",1.5781,101870.0000,7.8000
"2012-7-31-11",1.6479,101900.0000,7.4000
"2012-7-31-12",1.7582,101890.0000,6.8000
"2012-7-31-13",1.7511,101950.0000,7.8000
"2012-7-31-14",1.8318,101950.0000,6.9000
"2012-7-31-15",1.7511,101920.0000,7.2000
"2012-7-31-16",1.9180,101880.0000,8.0000
"2012-7-31-17",1.9147,101850.0000,8.4000
"2012-7-31-18",1.9191,101820.0000,8.6000
"2012-7-31-19",2.0539,101790.0000,8.4000
"2012-7-31-20",2.0921,101770.0000,7.8000
"2012-7-31-21",2.0346,101760.0000,9.0000
"2012-7-31-22",2.1844,101810.0000,8.3000
"2012-7-31-23",2.1932,101840.0000,8.6000
"2012-8-1-0",1.9750,101880.0000,7.9000
"2012-8-1-1",2.0052,101910.0000,8.4000
"2012-8-1-2",2.2004,101890.0000,7.4000
"2012-8-1-3",2.0642,101900.0000,6.3000
"2012-8-1-4",2.0535,101900.0000,4.8000
"2012-8-1-5",2.0151,101830.0000,6.3000
"2012-8-1-6",1.9893,101820.0000,5.8000
"2012-8-1-7",1.9365,101790.0000,5.4000
"2012-8-1-8",1.6619,101760.0000,6.6000
"2012-8-1-9",1.7828,101820.0000,8.4000
"2012-8-1-10",1.8260,101830.0000,4.1000
"2012-8-1-11",1.5607,101850.0000,6.3000
"2012-8-1-12",1.7582,101840.0000,6.5000
"2012-8-1-13",1.7135,101900.0000,5.3000
"2012-8-1-14",1.8332,101900.0000,6.5000
"2012-8-1-15",1.6855,101870.0000,6.0000
"2012-8-1-16",1.7560,101850.0000,9.0000
"2012-8-1-17",1.7901,101800.0000,10.2000
"2012-8-1-18",1.8952,101800.0000,7.6000
"2012-8-1-19",1.7042,101820.0000,7.5000
"2012-8-1-20",1.6958,101780.0000,7.9000
"2012-8-1-21",1.7321,101760.0000,7.1000
"2012-8-1-22",1.6346,101780.0000,6.7000
"2012-8-1-23",1.6272,101810.0000,7.1000
"2012-8-2-0",1.6436,101880.0000,5.2000
"2012-8-2-1",1.4727,101920.0000,5.3000
"2012-8-2-2",1.5551,101920.0000,6.1000
"2012-8-2-3",1.5635,101910.0000,6.7000
"2012-8-2-4",1.6674,101880.0000,5.9000
"2012-8-2-5",1.5546,101790.0000,6.1000
"2012-8-2-6",1.4429,101770.0000,6.1000
"2012-8-2-7",1.3516,101780.0000,7.1000
"2012-8-2-8",1.4526,101830.0000,10.0000
"2012-8-2-9",1.4447,101840.0000,4.6000
"2012-8-2-10",1.4321,101890.0000,3.8000
"2012-8-2-11",1.2927,101820.0000,2.9000
"2012-8-2-12",1.3302,101830.0000,6.9000
"2012-8-2-13",1.3564,101820.0000,8.1000
"2012-8-2-14",1.3823,101840.0000,8.4000
"2012-8-2-15",1.3801,101910.0000,6.4000
"2012-8-2-16",1.3204,101890.0000,6.7000
"2012-8-2-17",1.3913,101860.0000,6.7000
"2012-8-2-18",1.3877,101830.0000,5.3000
"2012-8-2-19",1.4869,101760.0000,6.3000
"2012-8-2-20",1.4106,101760.0000,5.2000
"2012-8-2-21",1.2944,101740.0000,4.9000
"2012-8-2-22",1.2638,101770.0000,4.0000
"2012-8-2-23",1.3014,101800.0000,4.7000
"2012-8-3-0",1.1932,101800.0000,4.7000
"2012-8-3-1",1.1348,101840.0000,5.0000
"2012-8-3-2",1.2214,101840.0000,5.6000
"2012-8-3-3",1.1385,101860.0000,5.3000
"2012-8-3-4",1.0977,101830.0000,5.3000
"2012-8-3-5",1.1743,101780.0000,5.4000
"2012-8-3-6",1.0991,101750.0000,5.5000
"2012-8-3-7",1.1496,101740.0000,4.9000
"2012-8-3-8",1.0670,101760.0000,4.6000
"2012-8-3-9",0.9784,101790.0000,4.3000
"2012-8-3-10",1.0142,101810.0000,4.0000
"2012-8-3-11",1.0109,101840.0000,5.2000
"2012-8-3-12",0.9431,101870.0000,3.9000
"2012-8-3-13",0.9781,101900.0000,4.8000
"2012-8-3-14",0.9468,101920.0000,5.5000
"2012-8-3-15",0.9168,101880.0000,4.5000
"2012-8-3-16",0.9290,101850.0000,5.6000
"2012-8-3-17",0.9537,101830.0000,5.8000
"2012-8-3-18",0.9621,101790.0000,6.3000
"2012-8-3-19",0.9470,101770.0000,5.6000
"2012-8-3-20",0.9622,101770.0000,6.3000
"2012-8-3-21",1.1016,101750.0000,6.5000
"2012-8-3-22",1.0504,101740.0000,6.5000
"2012-8-3-23",1.0679,101780.0000,7.2000
"2012-8-4-0",1.1162,101840.0000,7.2000
"2012-8-4-1",1.2501,101880.0000,7.3000
"2012-8-4-2",1.2780,101870.0000,8.1000
"2012-8-4-3",1.2953,101870.0000,7.4000
"2012-8-4-4",1.3463,101850.0000,7.6000
"2012-8-4-5",1.4217,101820.0000,8.0000
"2012-8-4-6",1.5406,101800.0000,7.6000
"2012-8-4-7",1.6109,101800.0000,6.6000
"2012-8-4-8",1.4424,101770.0000,6.9000
"2012-8-4-9",1.4503,101790.0000,6.6000
"2012-8-4-10",1.4222,101840.0000,6.7000
"2012-8-4-11",1.5305,101890.0000,5.8000
"2012-8-4-12",1.4515,101910.0000,6.3000
"2012-8-4-13",1.3992,101940.0000,6.6000
"2012-8-4-14",1.3974,101950.0000,6.6000
"2012-8-4-15",1.3102,101930.0000,6.1000
"2012-8-4-16",1.3445,101910.0000,5.5000
"2012-8-4-17",1.4556,101850.0000,5.1000
"2012-8-4-18",1.3570,101840.0000,6.8000
"2012-8-4-19",1.2770,101820.0000,6.6000
"2012-8-4-20",1.4179,101820.0000,7.5000
"2012-8-4-21",1.2786,101820.0000,8.3000
"2012-8-4-22",1.3526,101890.0000,6.7000
"2012-8-4-23",1.3549,101930.0000,6.8000
"2012-8-5-0",1.3097,102000.0000,7.3000
"2012-8-5-1",1.4049,102050.0000,7.0000
"2012-8-5-2",1.4543,102060.0000,6.9000
"2012-8-5-3",1.5933,102030.0000,6.7000
"2012-8-5-4",1.5124,101980.0000,7.5000
"2012-8-5-5",1.7362,101950.0000,7.3000
"2012-8-5-6",1.6633,101940.0000,6.4000
"2012-8-5-7",1.7769,101920.0000,6.2000
"2012-8-5-8",1.9270,101930.0000,5.6000
"2012-8-5-9",1.8300,101940.0000,5.3000
"2012-8-5-10",1.8901,102010.0000,5.7000
"2012-8-5-11",1.7971,102010.0000,6.0000
"2012-8-5-12",1.7852,102030.0000,5.6000
"2012-8-5-13",1.6846,102060.0000,6.3000
"2012-8-5-14",1.6964,102070.0000,5.7000
"2012-8-5-15",1.4838,102060.0000,5.7000
"2012-8-5-16",1.5932,102070.0000,6.3000
"2012-8-5-17",1.6751,102050.0000,5.5000
"2012-8-5-18",1.5549,102020.0000,5.8000
"2012-8-5-19",1.5883,101960.0000,6.7000
"2012-8-5-20",1.5772,101970.0000,5.7000
"2012-8-5-21",1.4466,101970.0000,5.4000
"2012-8-5-22",1.4901,101960.0000,5.5000
"2012-8-5-23",1.5322,101970.0000,5.6000
"2012-8-6-0",1.3173,101990.0000,5.6000
"2012-8-6-1",1.5313,102040.0000,4.6000
"2012-8-6-2",1.4541,102040.0000,4.7000
"2012-8-6-3",1.5378,102010.0000,4.4000
"2012-8-6-4",1.4288,101970.0000,4.2000
"2012-8-6-5",1.4452,101910.0000,4.3000
"2012-8-6-6",1.4021,101870.0000,3.4000
"2012-8-6-7",1.5194,101830.0000,3.5000
"2012-8-6-8",1.5621,101840.0000,3.6000
"2012-8-6-9",1.3879,101860.0000,2.7000
"2012-8-6-10",1.2779,101940.0000,2.7000
"2012-8-6-11",1.3252,101980.0000,2.1000
"2012-8-6-12",1.2963,101970.0000,5.1000
"2012-8-6-13",1.2256,101970.0000,2.9000
"2012-8-6-14",1.2629,101960.0000,4.3000
"2012-8-6-15",1.2159,101940.0000,3.9000
"2012-8-6-16",1.1922,101890.0000,4.2000
"2012-8-6-17",1.3031,101800.0000,4.1000
"2012-8-6-18",1.0747,101770.0000,3.7000
"2012-8-6-19",1.1832,101720.0000,3.8000
"2012-8-6-20",1.0921,101710.0000,3.8000
"2012-8-6-21",1.1199,101680.0000,5.4000
"2012-8-6-22",1.0909,101690.0000,4.1000
"2012-8-6-23",1.0940,101730.0000,5.2000
"2012-8-7-0",1.0519,101740.0000,5.1000
"2012-8-7-1",1.0679,101780.0000,5.9000
"2012-8-7-2",1.0718,101770.0000,5.0000
